NSE Symbol,Yahoo Code,Security Name
ASTRAZEN,ASTRAZEN.NS,AstraZeneca Pharma India Limited
ATFL,ATFL.NS,Agro Tech Foods Limited
ATLANTA,ATLANTA.NS,Atlanta Limited
ATNINTER,ATNINTER.NS,ATN International Limited
ATUL,ATUL.NS,Atul Limited
AURIONPRO,AURIONPRO.NS,Aurionpro Solutions Limited
AUTOAXLES,AUTOAXLES.NS,Automotive Axles Limited
AUTOIND,AUTOIND.NS,Autoline Industries Limited
AUTOLITIND,AUTOLITIN.NS,Autolite (India) Limited
AVANTI,AVANTI.NS,Avanti Feeds Limited
AVTNPL,AVTNPL.NS,AVT Natural Products Limited
AXISGOLD,AXISGOLD.NS,Axis Mutual Fund - Axis Gold ETF
AXIS-IT&T,AXIS-IT&T.NS,Axis-IT&T Limited
BAJAJCORP,BAJAJCORP.NS,Bajaj Corp Limited
BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Limited
BAJAJFINSV,BAJAJFINS.NS,Bajaj Finserv Limited
BAJFINANCE,BAJFINANC.NS,Bajaj Finance Limited
BALAJITELE,BALAJITEL.NS,Balaji Telefilms Limited
BALAMINES,BALAMINES.NS,Balaji Amines Limited
BALKRISIND,BALKRISIN.NS,Balkrishna Industries Limited
BALLARPUR,BALLARPUR.NS,Ballarpur Industries Limited
BALMLAWRIE,BALMLAWRI.NS,Balmer Lawrie & Company Limited
BALPHARMA,BALPHARMA.NS,Bal Pharma Limited
BANARISUG,BANARISUG.NS,Bannari Amman Sugars Limited
BANCOINDIA,BANCOINDI.NS,Banco Products (I) Limited
BANKBEES,BANKBEES.NS,Benchmark Asset Management Company Pvt. Limited
BANSWRAS,BANSWRAS.NS,Banswara Syntex Limited
BARTRONICS,BARTRONIC.NS,Bartronics India Limited
BASF,BASF.NS,BASF India Limited
BASML,BASML.NS,Bannari Amman Spinning Mills Limited
BAYERCROP,BAYERCROP.NS,Bayer Cropscience Limited
BBL,BBL.NS,Bharat Bijlee Limited
BBTC,BBTC.NS,Bombay Burmah Trading Corporation Limited
BEPL,BEPL.NS,Bhansali Engineering Polymers Limited
BERGEPAINT,BERGEPAIN.NS,Berger Paints (I) Limited
BFINVEST,BFINVEST.NS,BF Investment Limited
BHAGWATIHO,BHAGWATIH.NS,Bhagwati Banquets and Hotels Limited
BHAGYNAGAR,BHAGYNAGA.NS,Bhagyanagar India Limited
BHARATFORG,BHARATFOR.NS,Bharat Forge Limited
BHARATRAS,BHARATRAS.NS,Bharat Rasayan Limited
BHARTISHIP,BHARTISHI.NS,Bharati Shipyard Limited
BIL,BIL.NS,Bhartiya International Limited
BIMETAL,BIMETAL.NS,Bimetal Bearings Limited
BINANIIND,BINANIIND.NS,Binani Industries Limited
BIRLACORPN,BIRLACORP.NS,Birla Corporation Limited
BIRLAERIC,BIRLAERIC.NS,Birla Ericsson Optical Limited
BIRLAMONEY,BIRLAMONE.NS,Aditya Birla Money Limited
BIRLAPOWER,BIRLAPOWE.NS,Birla Power Solutions Limited
BLISSGVS,BLISSGVS.NS,Bliss GVS Pharma Limited
BLKASHYAP,BLKASHYAP.NS,B. L. Kashyap and Sons Limited
BLUECHIP,BLUECHIP.NS,Blue Chip India Limited
BLUEDART,BLUEDART.NS,Blue Dart Express Limited
BLUESTARCO,BLUESTARC.NS,Blue Star Limited
BLUESTINFO,BLUESTINF.NS,Blue Star Infotech Limited
BOC,BOC.NS,BOC India Limited
BPL,BPL.NS,BPL Limited
BRANDHOUSE,BRANDHOUS.NS,Brandhouse Retails Limited
BRFL,BRFL.NS,Bombay Rayon Fashions Limited
BRIGADE,BRIGADE.NS,Brigade Enterprises Limited
BRITANNIA,BRITANNIA.NS,Britannia Industries Limited
BSELINFRA,BSELINFRA.NS,BSEL Infrastructure Realty Limited
BSLGOLDETF,BSLGOLDET.NS,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth
BSLNIFTY,BSLNIFTY.NS,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth
BSTRANSCOM,BSTRANSCO.NS,BS TransComm Limited
BURNPUR,BURNPUR.NS,Burnpur Cement Limited
CADILAHC,CADILAHC.NS,Cadila Healthcare Limited
CANDC,CANDC.NS,C & C Constructions Limited
CANFINHOME,CANFINHOM.NS,Can Fin Homes Limited
CANTABIL,CANTABIL.NS,Cantabil Retail India Limited
CARBORUNIV,CARBORUNI.NS,Carborundum Universal Limited
CAREERP,CAREERP.NS,Career Point Limited
CASTROL,CASTROL.NS,Castrol India Limited
CCL,CCL.NS,CCL Products (India) Limited
CEATLTD,CEATLTD.NS,CEAT Limited
CEBBCO,CEBBCO.NS,Commercial Engineers & Body Builders Co Limited
CENTENKA,CENTENKA.NS,Century Enka Limited
CENTEXT,CENTEXT.NS,Century Extrusions Limited
CENTUM,CENTUM.NS,Centum Electronics Limited
CENTURYPLY,CENTURYPL.NS,Century Plyboards (India) Limited
CERA,CERA.NS,Cera Sanitaryware Limited
CHEMFALKAL,CHEMFALKA.NS,Chemfab Alkalis Limited
CHENNPETRO,CHENNPETR.NS,Chennai Petroleum Corporation Limited
CHETTINAD,CHETTINAD.NS,Chettinad Cement Corporation Limited
CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited
CHROMATIC,CHROMATIC.NS,Chromatic India Limited
CILNOVA,CILNOVA.NS,CIL Nova Petrochemicals Limited
CIMMCO,CIMMCO.NS,Cimmco Limited
CINEPRO,CINEPRO.NS,Cinemax Properties Limited
CLASSIC,CLASSIC.NS,Classic Diamonds (India) Limited
CLNINDIA,CLNINDIA.NS,Clariant Chemicals (India) Limited
CMAHENDRA,CMAHENDRA.NS,C. Mahendra Exports Limited
COMPUAGE,COMPUAGE.NS,Compuage Infocom Limited
COMPUSOFT,COMPUSOFT.NS,Compucom Software Limited
CONCOR,CONCOR.NS,Container Corporation of India Limited
CONSOFINVT,CONSOFINV.NS,Consolidated Finvest & Holdings Limited
CORDSCABLE,CORDSCABL.NS,Cords Cable Industries Limited
COROMANDEL,COROMANDE.NS,Coromandel International Limited
CORPBANK,CORPBANK.NS,Corporation Bank
COSMOFILMS,COSMOFILM.NS,Cosmo Films Limited
COX&KINGS,COX&KINGS.NS,Cox & Kings Limited
CREATIVEYE,CREATIVEY.NS,Creative Eye Limited
CRESTANI,CRESTANI.NS,Crest Animation Studios Limited
CREWBOS,CREWBOS.NS,Crew B.O.S. Products Limited
CRISIL,CRISIL.NS,CRISIL Limited
CRMFGETF,CRMFGETF.NS,Canara Robeco Mutual Fund - Canara Robeco - Gold ETF
CUB,CUB.NS,City Union Bank Limited
CYBERTECH,CYBERTECH.NS,Cybertech Systems And Software Limited
DAAWAT,DAAWAT.NS,LT Foods Limited
DALMIABEL,DALMIABEL.NS,Dalmia Bharat Enterprises Limited
DALMIASUG,DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited
DATAMATICS,DATAMATIC.NS,Datamatics Global Services Limited
DBCORP,DBCORP.NS,D.B.Corp Limited
DBSTOCKBRO,DBSTOCKBR.NS,DB (International) Stock Brokers Limited
DCHL,DCHL.NS,Deccan Chronicle Holdings Limited
DCMSRMCONS,DCMSRMCON.NS,DCM Shriram Consolidated Limited
DCW,DCW.NS,DCW Limited
DECCANCE,DECCANCE.NS,Deccan Cements Limited
DEEPAKFERT,DEEPAKFER.NS,Deepak Fertilizers and Petrochemicals Corporation Limited
DEEPAKNTR,DEEPAKNTR.NS,Deepak Nitrite Limited
DEEPIND,DEEPIND.NS,Deep Industries Limited
DEN,DEN.NS,Den Networks Limited
DENORA,DENORA.NS,De Nora India Limited
DENSO,DENSO.NS,Denso India Limited
DHAMPURSUG,DHAMPURSU.NS,The Dhampur Sugar Mills Limited
DHANBANK,DHANBANK.NS,Dhanlaxmi Bank Limited
DHANUKA,DHANUKA.NS,Dhanuka Agritech Limited
DHARSUGAR,DHARSUGAR.NS,Dharani Sugars & Chemicals Limited
DHFL,DHFL.NS,Dewan Housing Finance Corporation Limited
DIAPOWER,DIAPOWER.NS,Diamond Power Infra Ltd
DICIND,DICIND.NS,DIC India Limited
DIGJAM,DIGJAM.NS,Digjam Limited
DISHMAN,DISHMAN.NS,Dishman Pharmaceuticals and Chemicals Limited
DLINKINDIA,DLINKINDI.NS,D-Link (India) Limited
DOLPHINOFF,DOLPHINOF.NS,Dolphin Offshore Enterprises (India) Limited
DONEAR,DONEAR.NS,Donear Industries Limited
DPSCLTD,DPSCLTD.NS,DPSC Limited
DPTL,DPTL.NS,Dhunseri Petrochem & Tea Limited
DQE,DQE.NS,DQ Entertainment (International) Limited
DREDGECORP,DREDGECOR.NS,Dredging Corporation of India Limited
DSKULKARNI,DSKULKARN.NS,DS Kulkarni Developers Limited
DUNCANSIND,DUNCANSIN.NS,Duncans Industries Limited
DYNAMATECH,DYNAMATEC.NS,Dynamatic Technologies Limited
EASTSILK,EASTSILK.NS,Eastern Silk Industries Limited
ECEIND,ECEIND.NS,ECE Industries Limited
EDELWEISS,EDELWEISS.NS,Edelweiss Financial Services Limited
EDL,EDL.NS,Empee Distilleries Limited
EICHERMOT,EICHERMOT.NS,Eicher Motors Limited
EIDPARRY,EIDPARRY.NS,EID Parry India Limited
EIHAHOTELS,EIHAHOTEL.NS,EIH Associated Hotels Limited
EIHOTEL,EIHOTEL.NS,EIH Limited
EIMCOELECO,EIMCOELEC.NS,Eimco Elecon (India) Limited
EKC,EKC.NS,Everest Kanto Cylinder Limited
ELDERPHARM,ELDERPHAR.NS,Elder Pharmaceuticals Limited
ELECON,ELECON.NS,Elecon Engineering Company Limited
ELECTCAST,ELECTCAST.NS,Electrosteel Castings Limited
ELECTCAST,ELECTCAST.NS,Electrosteel Castings Limited
ELFORGE,ELFORGE.NS,EL Forge Limited
ELGIEQUIP,ELGIEQUIP.NS,Elgi Equipments Limited
ELGIRUBCO,ELGIRUBCO.NS,Elgi Rubber Company Limited
EMAMILTD,EMAMILTD.NS,Emami Limited
EMCO,EMCO.NS,Emco Limited
EMMBI,EMMBI.NS,Emmbi Polyarns Limited
ENERGYDEV,ENERGYDEV.NS,Energy Development Company Limited
ENGINERSIN,ENGINERSI.NS,Engineers India Limited
ENIL,ENIL.NS,Entertainment Network (India) Limited
EON,EON.NS,Eon Electric Limited
ERAINFRA,ERAINFRA.NS,Era Infra Engineering Limited
EROSMEDIA,EROSMEDIA.NS,Eros International Media Limited
ESABINDIA,ESABINDIA.NS,Esab India Limited
ESL,ESL.NS,Electrosteel Steels Limited
ESSARPORTS,ESSARPORT.NS,Essar Ports Limited
ESSARSHPNG,ESSARSHPN.NS,Essar Shipping Limited
ESSDEE,ESSDEE.NS,Ess Dee Aluminium Limited
ESSELPACK,ESSELPACK.NS,Essel Propack Limited
ESTER,ESTER.NS,Ester Industries Limited
EUROMULTI,EUROMULTI.NS,Euro Multivision Limited
EUROTEXIND,EUROTEXIN.NS,Eurotex Industries and Exports Limited
EVEREADY,EVEREADY.NS,Eveready Industries India Limited
EVERESTIND,EVERESTIN.NS,Everest Industries Limited
EVERONN,EVERONN.NS,Everonn Education Limited
EXCELCROP,EXCELCROP.NS,Excel Crop Care Limited
EXCELINDUS,EXCELINDU.NS,Excel Industries Limited
EXCELINFO,EXCELINFO.NS,Excel Infoways Limited
FACT,FACT.NS,Fertilizers and Chemicals Travancore Limited
FAGBEARING,FAGBEARIN.NS,FAG Bearings India Limited
FCH,FCH.NS,Future Capital Holdings Limited
FDC,FDC.NS,FDC Limited
FEDDERLOYD,FEDDERLOY.NS,Fedders Lloyd Corporation Limited
FIEMIND,FIEMIND.NS,Fiem Industries Limited
FILATEX,FILATEX.NS,Filatex India Limited
FINCABLES,FINCABLES.NS,Finolex Cables Limited
FINPIPE,FINPIPE.NS,Finolex Industries Limited
FIRSTLEASE,FIRSTLEAS.NS,First Leasing Company of India Limited
FIRSTWIN,FIRSTWIN.NS,First Winner Industries Limited
FKONCO,FKONCO.NS,Fresenius Kabi Oncology Limited
FLEXITUFF,FLEXITUFF.NS,Flexituff International Limited
FMGOETZE,FMGOETZE.NS,Federal-Mogul Goetze (India) Limited.
FMNL,FMNL.NS,Future Market Networks Limited
FOSECOIND,FOSECOIND.NS,Foseco India Limited
FOURSOFT,FOURSOFT.NS,Four Soft Limited
FSL,FSL.NS,Firstsource Solutions Limited
FUTUREVENT,FUTUREVEN.NS,Future Ventures India Limited
GABRIEL,GABRIEL.NS,Gabriel India Limited
GAEL,GAEL.NS,Gujarat Ambuja Exports Limited
GAL,GAL.NS,Gyscoal Alloys Limited
GALLANTT,GALLANTT.NS,Gallantt Metal Limited
GALLISPAT,GALLISPAT.NS,Gallantt Ispat Limited
GAMMNINFRA,GAMMNINFR.NS,Gammon Infrastructure Projects Limited
GAMMONIND,GAMMONIND.NS,Gammon India Limited
GANDHITUBE,GANDHITUB.NS,Gandhi Special Tubes Limited
GANESHHOUC,GANESHHOU.NS,Ganesh Housing Corporation Limited
GARDENSILK,GARDENSIL.NS,Garden Silk Mills Limited
GARWALLROP,GARWALLRO.NS,Garware Wall Ropes Limited
GATI,GATI.NS,GATI Limited
GAYAPROJ,GAYAPROJ.NS,Gayatri Projects Limited
GDL,GDL.NS,Gateway Distriparks Limited
GEECEE,GEECEE.NS,GeeCee Ventures Limited
GEINDSYS,GEINDSYS.NS,GEI Industrial Systems Limited
GEMINI,GEMINI.NS,Gemini Communication Limited
GENESYS,GENESYS.NS,Genesys International Corporation Limited
GENUSPOWER,GENUSPOWE.NS,Genus Power Infrastructures Limited
GEODESIC,GEODESIC.NS,Geodesic Limited
GEOJITBNPP,GEOJITBNP.NS,Geojit BNP Paribas Financial Services Limited
GEOMETRIC,GEOMETRIC.NS,Geometric Limited
GHCL,GHCL.NS,GHCL Limited
GICHSGFIN,GICHSGFIN.NS,GIC Housing Finance Limited
GILLANDERS,GILLANDER.NS,Gillanders Arbuthnot & Company Limited
GILLETTE,GILLETTE.NS,Gillette India Limited
GINNIFILA,GINNIFILA.NS,Ginni Filaments Limited
GIPCL,GIPCL.NS,Gujarat Industries Power Company Limited
GITANJALI,GITANJALI.NS,Gitanjali Gems Limited
GLENMARK,GLENMARK.NS,Glenmark Pharmaceuticals Limited
GLOBALVECT,GLOBALVEC.NS,Global Vectra Helicorp Limited
GLOBOFFS,GLOBOFFS.NS,Global Offshore Services Limited
GLOBUSSPR,GLOBUSSPR.NS,Globus Spirits Limited
GLODYNE,GLODYNE.NS,Glodyne Technoserve Limited
GLORY,GLORY.NS,Glory Polyfilms Limited
GMBREW,GMBREW.NS,GM Breweries Limited
GNFC,GNFC.NS,Gujarat Narmada Valley Fertilizer Company Limited
GOACARBON,GOACARBON.NS,Goa Carbon Limited
GODFRYPHLP,GODFRYPHL.NS,Godfrey Phillips India Limited
GODREJCP,GODREJCP.NS,Godrej Consumer Products Limited
GODREJPROP,GODREJPRO.NS,Godrej Properties Limited
GOENKA,GOENKA.NS,Goenka Diamond and Jewels Limited
GOKEX,GOKEX.NS,Gokaldas Exports Limited
GOKUL,GOKUL.NS,Gokul Refoils and Solvent Limited
GOLDBEES,GOLDBEES.NS,Benchmark Mutual Fund - Gold Benchmark Exchange Traded Scheme
GOLDIAM,GOLDIAM.NS,Goldiam International Limited
GOLDINFRA,GOLDINFRA.NS,Goldstone Infratech Limited
GOLDSHARE,GOLDSHARE.NS,UTI Mutual Fund - UTI Gold Exchange Traded Fund
GOLDTECH,GOLDTECH.NS,Goldstone Technologies Limited
GPIL,GPIL.NS,Godawari Power And Ispat limited
GPPL,GPPL.NS,Gujarat Pipavav Port Limited
GRANULES,GRANULES.NS,Granules India Limited
GRAPHITE,GRAPHITE.NS,Graphite India Limited
GRAVITA,GRAVITA.NS,Gravita India Limited
GREAVESCOT,GREAVESCO.NS,Greaves Cotton Limited
GREENPLY,GREENPLY.NS,Greenply Industries Limited
GREENPOWER,GREENPOWE.NS,Orient Green Power Company Limited
GRINDWELL,GRINDWELL.NS,Grindwell Norton Limited
GRUH,GRUH.NS,Gruh Finance Limited
GSFC,GSFC.NS,Gujarat State Fertilizers & Chemicals Limited
GSKCONS,GSKCONS.NS,GlaxoSmithKline Consumer Healthcare Limited
GSLNOVA,GSLNOVA.NS,GSL Nova Petrochemicals Limited
GSS,GSS.NS,GSS Infotech Limited
GTL,GTL.NS,GTL Limited
GTLINFRA,GTLINFRA.NS,GTL Infrastructure Limited
GTOFFSHORE,GTOFFSHOR.NS,Great Offshore Limited
GUJALKALI,GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,GUJAPOLLO.NS,Gujarat Apollo Industries Limited
GUJNRECOKE,GUJNRECOK.NS,Gujarat NRE Coke Limited
GUJNRECOKE,GUJNRECOK.NS,Gujarat NRE Coke Limited
GUJNREDVR,GUJNREDVR.NS,Gujarat NRE Coke Limited
GUJRATGAS,GUJRATGAS.NS,Gujarat Gas Company Limited
GUJSIDHCEM,GUJSIDHCE.NS,Gujarat Sidhee Cements Limited
GULFOILCOR,GULFOILCO.NS,Gulf Oil Corporation Limited
HANUNG,HANUNG.NS,Hanung Toys and Textiles Limited
HARITASEAT,HARITASEA.NS,Harita Seating Systems Limited
HARRMALAYA,HARRMALAY.NS,Harrisons Malayalam Limited
HATHWAY,HATHWAY.NS,Hathway Cable & Datacom Limited
HCIL,HCIL.NS,Himadri Chemicals and Industries Limited
HDFC,HDFC.NS,Housing Development Finance Corporation Limited
HDFCMFGETF,HDFCMFGET.NS,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund
HEG,HEG.NS,HEG Limited
HEIDELBERG,HEIDELBER.NS,HeidelbergCement India Limited
HELIOSMATH,HELIOSMAT.NS,Helios And Matheson Information Technology Limited
HERCULES,HERCULES.NS,Hercules Hoists Limited
HERITGFOOD,HERITGFOO.NS,Heritage Foods (India) Limited
HFCL,HFCL.NS,Himachal Futuristic Communications Limited
HGS,HGS.NS,Hinduja Global Solutions Limited
HIKAL,HIKAL.NS,Hikal Limited
HIMATSEIDE,HIMATSEID.NS,Himatsingka Seide Limited
HINDCOMPOS,HINDCOMPO.NS,Hindustan Composites Limited
HINDCOPPER,HINDCOPPE.NS,Hindustan Copper Limited
HINDNATGLS,HINDNATGL.NS,Hindusthan National Glass & Industries Limited
HINDUJAFO,HINDUJAFO.NS,Hinduja Foundries Limited
HINDUJAVEN,HINDUJAVE.NS,Hinduja Ventures Limited
HIRAFERRO,HIRAFERRO.NS,Hira Ferro Alloys Limited
HIRECT,HIRECT.NS,Hind Rectifiers Limited
HITECHGEAR,HITECHGEA.NS,Hi-Tech Gears Limited
HITECHPLAS,HITECHPLA.NS,Hitech Plast Limited
HMT,HMT.NS,HMT Limited
HMVL,HMVL.NS,Hindustan Media Ventures Limited
HNGSNGBEES,HNGSNGBEE.NS,Benchmark Mutual Fund - Hang Seng Benchmark Exchange Traded Scheme
HOCL,HOCL.NS,Hindustan Organic Chemicals Limited
HONAUT,HONAUT.NS,Honeywell Automation India Limited
HONDAPOWER,HONDAPOWE.NS,Honda Siel Power Products Limited
HORIZONINF,HORIZONIN.NS,Horizon Infrastructure Limited
HOTELEELA,HOTELEELA.NS,Hotel Leela Venture Limited
HOVS,HOVS.NS,HOV Services Limited
HSIL,HSIL.NS,HSIL Limited
HTMEDIA,HTMEDIA.NS,HT Media Limited
HUBTOWN,HUBTOWN.NS,Hubtown Limited
HYDRBADIND,HYDRBADIN.NS,Hyderabad Industries Limited
HYDROS&S,HYDROS&S.NS,Hydro S & S Industries Limited
IBPOW,IBPOW.NS,Indiabulls Power Limited
ICRA,ICRA.NS,ICRA Limited
ICSA,ICSA.NS,ICSA (India) Limited
IDBIGOLD,IDBIGOLD.NS,IDBI Mutual Fund - IDBI Gold Exchange Traded Fund
IFBIND,IFBIND.NS,IFB Industries Limited
IFGLREFRAC,IFGLREFRA.NS,IFGL Refractories Limited
IGARASHI,IGARASHI.NS,Igarashi Motors India Limited
IIFLNIFTY,IIFLNIFTY.NS,IIFL Mutual Fund - IIFL NIFTY ETF
IL&FSENGG,IL&FSENGG.NS,IL&FS Engineering and Construction Company Limited
IL&FSTRANS,IL&FSTRAN.NS,IL&FS Transportation Networks Limited
IMFA,IMFA.NS,Indian Metals & Ferro Alloys Limited
IMPAL,IMPAL.NS,India Motor Parts and Accessories Limited
INDBANK,INDBANK.NS,Indbank Merchant Banking Services Limited
INDIABULLS,INDIABULL.NS,Indiabulls Financial Services Limited
INDIABULLS,INDIABULL.NS,Indiabulls Financial Services Limited
INDIAGLYCO,INDIAGLYC.NS,India Glycols Limited
INDIANHUME,INDIANHUM.NS,Indian Hume Pipe Company Limited
INDLMETER,INDLMETER.NS,IMP Powers Limited
INDNIPPON,INDNIPPON.NS,India Nippon Electricals Limited
INDOCO,INDOCO.NS,Indoco Remedies Limited
INDORAMA,INDORAMA.NS,Indo Rama Synthetics (India) Limited
INDOTECH,INDOTECH.NS,Indo Tech Transformers Limited
INDOTHAI,INDOTHAI.NS,Indo Thai Securities Limited
INDOWIND,INDOWIND.NS,Indowind Energy Limited
INDRAMEDCO,INDRAMEDC.NS,Indraprastha Medical Corporation Limited
INDSWFTLAB,INDSWFTLA.NS,Ind-Swift Laboratories Limited
INDSWFTLTD,INDSWFTLT.NS,Ind-Swift Limited
INDTERRAIN,INDTERRAI.NS,Indian Terrain Fashions Limited
INDUSFILA,INDUSFILA.NS,Indus Fila Limited
INFOMEDIA,INFOMEDIA.NS,Infomedia 18 Limited
INFOTECENT,INFOTECEN.NS,Infotech Enterprises Limited
INFRABEES,INFRABEES.NS,Benchmark Mutual Fund- Infrastructure Benchmark Exchange Traded Scheme
INGERRAND,INGERRAND.NS,Ingersoll Rand (India) Limited
INGVYSYABK,INGVYSYAB.NS,ING Vysya Bank Limited
INNOIND,INNOIND.NS,Innoventive Industries Limited
INOXLEISUR,INOXLEISU.NS,INOX Leisure Limited
INSECTICID,INSECTICI.NS,Insecticides (India) Limited
IOLCP,IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited
IPCALAB,IPCALAB.NS,IPCA Laboratories Limited
IPGETF,IPGETF.NS,ICICI Prudential Mutual Fund - ICICI Prudential Gold ETF
IPRINGLTD,IPRINGLTD.NS,IP Rings Limited
ISFT,ISFT.NS,Intrasoft Technologies Limited
ISMTLTD,ISMTLTD.NS,ISMT Limited
ITDCEM,ITDCEM.NS,ITD Cementation India Limited
ITI,ITI.NS,ITI Limited
IVC,IVC.NS,IL&FS Investment Managers Limited
J&KBANK,J&KBANK.NS,The Jammu & Kashmir Bank Limited
JAGRAN,JAGRAN.NS,Jagran Prakashan Limited
JAGSNPHARM,JAGSNPHAR.NS,Jagsonpal Pharmaceuticals Limited
JAICORPLTD,JAICORPLT.NS,Jai Corp Limited
JAIHINDPRO,JAIHINDPR.NS,Jaihind Projects Limited
JAMNAAUTO,JAMNAAUTO.NS,Jamna Auto Industries Limited
JAYAGROGN,JAYAGROGN.NS,Jayant Agro Organics Limited
JAYBARMARU,JAYBARMAR.NS,Jay Bharat Maruti Limited
JAYNECOIND,JAYNECOIN.NS,Jayaswal Neco Industries Limited
JAYSREETEA,JAYSREETE.NS,Jayshree Tea & Industries Limited
JBCHEPHARM,JBCHEPHAR.NS,JB Chemicals & Pharmaceuticals Limited
JBFIND,JBFIND.NS,JBF Industries Limited
JBMA,JBMA.NS,JBM Auto Limited
JENSONICOL,JENSONICO.NS,Jenson & Nicholson (India) Limited
JHS,JHS.NS,JHS Svendgaard Laboratories Limited
JINDALPHOT,JINDALPHO.NS,Jindal Photo Limited
JINDALPOLY,JINDALPOL.NS,Jindal Poly Films Limited
JINDALSWHL,JINDALSWH.NS,Jindal South West Holdings Limited
JINDCOT,JINDCOT.NS,Jindal Cotex Limited
JINDRILL,JINDRILL.NS,Jindal Drilling And Industries Limited
